day,temperature_c,tmin,tmax,precip_mm,wind_speed_ms,visibility_m,month,mean,std,temp_zscore
2025-05-16,12.616842105263157,5.0,18.0,0.0,7.2,9937.161290322581,5,14.322978913125253,2.6969855062998898,-0.6326088159824109
2025-05-17,13.489583333333334,7.0,19.0,0.0,7.2,9958.583333333334,5,14.322978913125253,2.6969855062998898,-0.30901003281077694
2025-05-18,11.666666666666666,6.0,14.0,0.0,6.2,9642.989583333334,5,14.322978913125253,2.6969855062998898,-0.9849189920575048
2025-05-19,15.0625,8.0,22.0,0.0,8.2,8635.270833333334,5,14.322978913125253,2.6969855062998898,0.27420284059639904
2025-05-20,16.822916666666668,10.0,23.0,0.0,6.7,9902.0625,5,14.322978913125253,2.6969855062998898,0.9269377783832391
2025-05-21,12.427083333333334,6.0,20.0,0.0,6.7,9348.604166666666,5,14.322978913125253,2.6969855062998898,-0.7029683976288695
2025-05-22,11.385416666666666,6.0,16.0,0.0,7.7,9927.46875,5,14.322978913125253,2.6969855062998898,-1.089202088627
2025-05-23,10.90625,2.0,17.0,0.0,6.2,9912.28125,5,14.322978913125253,2.6969855062998898,-1.2668695864861395
2025-05-24,13.574468085106384,3.0,16.0,0.0,8.8,9102.427083333334,5,14.322978913125253,2.6969855062998898,-0.2775360958634825
2025-05-25,15.43157894736842,12.0,20.0,0.0,10.3,9534.864583333334,5,14.322978913125253,2.6969855062998898,0.41105153574373615
2025-05-26,14.670212765957446,10.0,19.0,0.0,8.8,9854.677083333334,5,14.322978913125253,2.6969855062998898,0.12874887611412433
2025-05-27,14.844155844155845,13.0,17.0,0.0,10.8,8773.130952380952,5,14.322978913125253,2.6969855062998898,0.19324424614562236
2025-05-28,15.663157894736843,13.0,21.0,0.0,9.8,9113.010416666666,5,14.322978913125253,2.6969855062998898,0.496917383679321
2025-05-29,15.322916666666666,12.0,20.0,0.0,7.7,9661.864583333334,5,14.322978913125253,2.6969855062998898,0.37076126334593135
2025-05-30,17.5,11.0,27.0,0.0,5.7,9046.40625,5,14.322978913125253,2.6969855062998898,1.177989677532023
2025-05-31,17.958333333333332,11.0,28.0,0.0,6.2,9895.291666666666,5,14.322978913125253,2.6969855062998898,1.3479325015711998
2025-06-01,15.541666666666666,12.0,20.0,0.0,7.2,9804.635416666666,6,18.559991687950166,3.177591430093606,-0.9498782608419188
2025-06-02,15.282608695652174,9.0,21.0,0.0,5.7,9935.510869565218,6,18.559991687950166,3.177591430093606,-1.0314047807591948
2025-06-03,16.105154639175257,8.0,23.0,0.0,10.3,9973.886597938144,6,18.559991687950166,3.177591430093606,-0.7725464719995779
2025-06-04,15.302083333333334,12.0,20.0,0.0,7.2,9912.90625,6,18.559991687950166,3.177591430093606,-1.0252760388773015
2025-06-05,15.260416666666666,13.0,19.0,0.0,9.8,9413.8125,6,18.559991687950166,3.177591430093606,-1.0383886959269337
2025-06-06,15.178947368421053,13.0,19.0,0.0,9.3,9953.4375,6,18.559991687950166,3.177591430093606,-1.0640273911581875
2025-06-07,14.287234042553191,12.0,18.0,0.0,8.8,9508.510416666666,6,18.559991687950166,3.177591430093606,-1.3446529358467925
2025-06-08,13.725,10.0,18.0,0.0,9.3,9924.4125,6,18.559991687950166,3.177591430093606,-1.5215901082058674
2025-06-09,14.6875,8.0,20.0,0.0,6.2,9957.75,6,18.559991687950166,3.177591430093606,-1.2186877303593715
2025-06-10,15.361702127659575,11.0,20.0,0.0,8.2,9980.04255319149,6,18.559991687950166,3.177591430093606,-1.0065137795882009
2025-06-11,19.011904761904763,11.0,24.0,0.0,6.7,9585.357142857143,6,18.559991687950166,3.177591430093606,0.1422187477202769
2025-06-12,22.857142857142858,14.0,31.0,0.0,6.7,9627.333333333334,6,18.559991687950166,3.177591430093606,1.3523296697291587
2025-06-13,23.387096774193548,15.0,31.0,0.0,11.8,9451.916666666666,6,18.559991687950166,3.177591430093606,1.5191081649226326
2025-06-14,18.936842105263157,13.0,24.0,0.0,8.2,9167.21875,6,18.559991687950166,3.177591430093606,0.11859624674966132
2025-06-15,17.083333333333332,14.0,23.0,0.0,6.7,9950.34375,6,18.559991687950166,3.177591430093606,-0.46470995000554066
2025-06-16,18.16304347826087,12.0,26.0,0.0,4.1,9349.847826086956,6,18.559991687950166,3.177591430093606,-0.1249210977629059
2025-06-17,18.791666666666668,11.0,27.0,0.0,5.1,9903.09375,6,18.559991687950166,3.177591430093606,0.07290898902936581
