network_id,city,station_id,station_name,occupancy_rate,bikes_available,free_slots,capacity,pct_empty,pct_full,latitude,longitude,turnover_proxy,criticite,type_critique
bicloo,Nantes,3e2608f618c62845a8325b9fefafb17f,GARE DE PONT ROUSSEAU,0.417,10.0,14.0,24.0,0.0,0.0,47.193,-1.549,10.0,0.0,penurie (vide)
bicloo,Nantes,3e6aa8b142305c49e1df947e743cf62e,,0.0,0.0,5.0,5.0,1.0,0.0,47.217,-1.553,0.0,1.0,penurie (vide)
bicloo,Nantes,408747aea46ae402b62442a899814484,BEL AIR,0.308,4.0,9.0,13.0,0.0,0.0,47.226,-1.56,4.0,0.0,penurie (vide)
bicloo,Nantes,40c9c4b3ec4eb44bb3ab8eb88db20de0,HÔTEL DE VILLE,0.05,1.0,19.0,20.0,0.0,0.0,47.219,-1.553,1.0,0.0,penurie (vide)
bicloo,Nantes,4689e61599b6bff3025b4b30323e51f1,RENÉ BOUHIER,0.0,0.0,15.0,15.0,1.0,0.0,47.209,-1.571,0.0,1.0,penurie (vide)
bicloo,Nantes,46b437f2fa4f6bf780cc33e98a750fff,PROCÉ,1.0,15.0,0.0,15.0,0.0,1.0,47.224,-1.577,15.0,1.0,saturation (pleine)
bicloo,Nantes,4ab359d909058f078a3d9bd39c20105a,RÉPUBLIQUE,0.231,6.0,20.0,26.0,0.0,0.0,47.205,-1.555,6.0,0.0,penurie (vide)
bicloo,Nantes,4ad5c70c850562eb3f5c177044178810,CHANZY,0.4,6.0,9.0,15.0,0.0,0.0,47.225,-1.548,6.0,0.0,penurie (vide)
bicloo,Nantes,4b812fe2a4084680944260b4d7fd97aa,PIRMIL,0.111,3.0,24.0,27.0,0.0,0.0,47.197,-1.542,3.0,0.0,penurie (vide)
bicloo,Nantes,55713e8826fa3f15f727cc564509dfeb,TORTIÈRE,0.333,4.0,8.0,12.0,0.0,0.0,47.235,-1.549,4.0,0.0,penurie (vide)
bicloo,Nantes,55d5ddfef132f1e3ec7bce11afb28819,SAINT FÉLIX,0.714,10.0,4.0,14.0,0.0,0.0,47.23,-1.556,10.0,0.0,penurie (vide)
bicloo,Nantes,5b1a0d38dbc1fca453559d88ebad89a4,MILLERAND,0.077,1.0,12.0,13.0,0.0,0.0,47.208,-1.53,1.0,0.0,penurie (vide)
